32050067050,"COASTAL WAVES VACATIONS, LLC                      ","3616 7 MILE RD                          ","GALVESTON           ","TX","77554",084,00010," COASTAL WAVES VACATIONS                          ","4158 GREEN HERON DR                     ","GALVESTON           ","TX","77554",084,    1,         0.00,         0.00
32049649729,"ALL SEASONS RENTALS,  INC.                        ","15113 BAT HAWK CIR                      ","AUSTIN              ","TX","78738",227,00022," CROSSING C                                       ","613 HI CIR N                            ","HORSESHOE BAY       ","TX","78657",150,    1,      1935.67,      1935.67
32039987733,"TIRUPATI LODGING CORP.                            ","1407 S MAIN ST                          ","HIGHLANDS           ","TX","77562",101,00001," HIGHLANDS SUITES                                 ","1407 S MAIN ST                          ","HIGHLANDS           ","TX","77562",101,   31,     37906.95,     26906.95
32026645294,"OM SHIVAY PPD ENTERPRISES, LLC                    ","3712 7TH ST                             ","BAY CITY            ","TX","77414",158,00001," REGENCY INN & SUITES                             ","3712 7TH ST                             ","BAY CITY            ","TX","77414",158,   57,     37849.53,      1614.93
32046829167,"SPI RENTALS, LLC                                  ","2600 PADRE BLVD # R                     ","S PADRE ISLE        ","TX","78597",031,00046," SPI RENTALS, LLC - BEACH                         ","6401B BEACH DR                          ","SOUTH PADRE ISLAND  ","TX","78597",031,    1,         0.00,         0.00
32015454328,"WILLIAM T HOVESTADT                               ","PO BOX 310279                           ","NEW BRAUNFELS       ","TX","78131",046,00011," W T H INVESTMENTS                                ","777 CLOUD LN                            ","NEW BRAUNFELS       ","TX","78130",094,    1,     13720.00,     13121.00
32044594219,"KEY ALLEGRO COASTAL LUCE PROPERTIES, LLC          ","1809 BAY SHORE DR                       ","ROCKPORT            ","TX","78382",004,00137," 703 ALLEGRO NORTH CONDOS                         ","620 S FULTON BEACH RD APT 703           ","ROCKPORT            ","TX","78382",004,    3,      1675.00,         0.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00155,"(PB 114) TERRY L CARTER                           ","2212 STATE HIGHWAY 361 UNIT 114         ","PORT ARANSAS        ","TX","78373",178,    1,         0.00,         0.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00156,"(PB 205) LARRY OR VICKY MURPHY                    ","2212 STATE HIGHWAY 361 UNIT 205         ","PORT ARANSAS        ","TX","78373",178,    1,      1653.23,         0.00
32009496855,"MARCUS C STARKEY                                  ","PO BOX 1780                             ","PORT ARANSAS        ","TX","78373",178,00194,"(PB101) STEVEN AND MARY MORGAN                    ","2212 STATE HIGHWAY 361 UNIT 101         ","PORT ARANSAS        ","TX","78373",178,    1,      1595.00,         0.00
